start_time,end_time,max_time,peak_width,peak_risetime,peak_falltime,peak_flux
243070359.10709402,243076329.10709402,243070948.10709402,5970.2103858589035,588.4277250083032,5381.7826608506,34867.99
243098233.10709402,243098379.10709402,243098342.10709402,145.58286308465904,108.9475491115154,36.63531397314364,54909.02
243098441.10709402,243099868.10709402,243098859.10709402,1426.9550143406377,417.87542916235543,1009.0795851782823,42303.44
243102146.10709402,243108402.10709402,243102866.10709402,5569.106331045026,33.09227861700492,5536.014052428021,58266.465
242361452.33633,242364867.33633,242362145.33633,1871.7281473667626,692.2299162790696,1179.498231087693,11271.995
242367291.33633,242368495.33633,242367659.33633,1203.4554108561424,367.3850656810355,836.0703451751069,10143.102
242373065.33633,242378753.33633,242373370.33633,3446.1153713073872,304.31139813193295,3141.8039731754543,13480.43
242380590.33633,242381302.33633,242380750.33633,711.8258121395083,159.66929467762748,552.1565174618809,12899.373
242402510.33633,242402936.33633,242402614.33633,426.69362899784755,103.79756247579644,322.8960665220511,11291.787
242410199.33633,242424138.33633,242421558.33633,10888.051422694574,8307.150337703613,2580.901084990961,13886.798
242424709.33633,242429482.33633,242425563.33633,2540.674107394567,145.016464809014,2395.657642585553,12834.799
242297515.69527003,242301971.69527003,242297778.69527003,2149.5817902257877,262.2990494204387,1887.282740805349,35446.816
